job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
131,w0,delay_is.C.2,1739.571473,2,87.000000,1,COMPLETED_SUCCESSFULLY,1739.573273,26.481000,1766.054273,0.001800,26.482800,1.000068,1 7,-1.000000,""
133,w0,delay_is.B.2,1764.370518,2,67.000000,1,COMPLETED_SUCCESSFULLY,1764.372318,6.609000,1770.981318,0.001800,6.610800,1.000272,16-17,-1.000000,""
113,w0,delay_lu.C.4,1488.743081,4,436.000000,1,COMPLETED_SUCCESSFULLY,1488.744881,290.530000,1779.274881,0.001800,290.531800,1.000006,32-33 51-52,-1.000000,""
134,w0,delay_is.C.2,1775.965224,2,87.000000,1,COMPLETED_SUCCESSFULLY,1775.967024,26.481000,1802.448024,0.001800,26.482800,1.000068,1 7,-1.000000,""
135,w0,delay_is.C.2,1783.285150,2,87.000000,1,COMPLETED_SUCCESSFULLY,1783.286950,26.481000,1809.767950,0.001800,26.482800,1.000068,16-17,-1.000000,""
128,w0,delay_lu.B.2,1680.617406,2,212.000000,1,COMPLETED_SUCCESSFULLY,1680.619206,140.950000,1821.569206,0.001800,140.951800,1.000013,50 53,-1.000000,""
132,w0,delay_lu.B.4,1759.053673,4,148.000000,1,COMPLETED_SUCCESSFULLY,1759.055473,87.690000,1846.745473,0.001800,87.691800,1.000021,10-13,-1.000000,""
122,w0,delay_ft.C.2,1607.557942,2,399.000000,1,COMPLETED_SUCCESSFULLY,1607.559742,265.800000,1873.359742,0.001800,265.801800,1.000007,8-9,-1.000000,""
139,w0,delay_ft.B.4,1850.953085,4,96.000000,1,COMPLETED_SUCCESSFULLY,1850.954885,35.932000,1886.886885,0.001800,35.933800,1.000050,12-13 17 20,-1.000000,""
125,w0,delay_lu.B.1,1646.736106,1,420.000000,1,COMPLETED_SUCCESSFULLY,1646.737906,279.990000,1926.727906,0.001800,279.991800,1.000006,14,-1.000000,""
137,w0,delay_ft.B.1,1838.378280,1,149.000000,1,COMPLETED_SUCCESSFULLY,1838.380080,88.510000,1926.890080,0.001800,88.511800,1.000020,16,-1.000000,""
117,w0,delay_ft.C.1,1546.886239,1,580.000000,1,COMPLETED_SUCCESSFULLY,1546.888039,386.480000,1933.368039,0.001800,386.481800,1.000005,24,-1.000000,""
143,w0,delay_ft.B.4,1897.539087,4,96.000000,1,COMPLETED_SUCCESSFULLY,1897.540887,35.932000,1933.472887,0.001800,35.933800,1.000050,12-13 17 20,-1.000000,""
103,w0,delay_lu.C.2,1353.108822,2,891.000000,1,COMPLETED_SUCCESSFULLY,1353.110622,593.590000,1946.700622,0.001800,593.591800,1.000003,38-39,-1.000000,""
147,w0,delay_is.B.8,1947.722083,8,63.000000,1,COMPLETED_SUCCESSFULLY,1947.723883,2.330000,1950.053883,0.001800,2.331800,1.000773,17 20 24 36-40,-1.000000,""
145,w0,delay_is.C.2,1924.318028,2,87.000000,1,COMPLETED_SUCCESSFULLY,1924.319828,26.481000,1950.800828,0.001800,26.482800,1.000068,34-35,-1.000000,""
140,w0,delay_ft.B.1,1864.633719,1,149.000000,1,COMPLETED_SUCCESSFULLY,1864.635519,88.510000,1953.145519,0.001800,88.511800,1.000020,21,-1.000000,""
104,w0,delay_lu.C.2,1366.915882,2,891.000000,1,COMPLETED_SUCCESSFULLY,1366.917682,593.590000,1960.507682,0.001800,593.591800,1.000003,5-6,-1.000000,""
142,w0,delay_ft.C.8,1883.415569,8,141.000000,1,COMPLETED_SUCCESSFULLY,1883.417369,80.710000,1964.127369,0.001800,80.711800,1.000022,8-9 26-31,-1.000000,""
146,w0,delay_ft.B.4,1941.089738,4,96.000000,1,COMPLETED_SUCCESSFULLY,1941.091538,35.932000,1977.023538,0.001800,35.933800,1.000050,12-14 16,-1.000000,""
149,w0,delay_is.B.2,1974.516865,2,67.000000,1,COMPLETED_SUCCESSFULLY,1974.518665,6.609000,1981.127665,0.001800,6.610800,1.000272,6 8,-1.000000,""
151,w0,delay_is.B.2,1997.142177,2,67.000000,1,COMPLETED_SUCCESSFULLY,1997.143977,6.609000,2003.752977,0.001800,6.610800,1.000272,9 12,-1.000000,""
150,w0,delay_is.C.2,1992.525573,2,87.000000,1,COMPLETED_SUCCESSFULLY,1992.527373,26.481000,2019.008373,0.001800,26.482800,1.000068,6 8,-1.000000,""
152,w0,delay_is.B.2,2014.433624,2,67.000000,1,COMPLETED_SUCCESSFULLY,2014.435424,6.609000,2021.044424,0.001800,6.610800,1.000272,9 12,-1.000000,""
124,w0,delay_ft.C.1,1637.482537,1,580.000000,1,COMPLETED_SUCCESSFULLY,1637.484337,386.480000,2023.964337,0.001800,386.481800,1.000005,4,-1.000000,""
110,w0,delay_lu.C.2,1455.406549,2,891.000000,1,COMPLETED_SUCCESSFULLY,1455.408349,593.590000,2048.998349,0.001800,593.591800,1.000003,18-19,-1.000000,""
154,w0,delay_is.B.2,2047.479830,2,67.000000,1,COMPLETED_SUCCESSFULLY,2047.481630,6.609000,2054.090630,0.001800,6.610800,1.000272,4 9,-1.000000,""
148,w0,delay_ft.B.1,1971.481640,1,149.000000,1,COMPLETED_SUCCESSFULLY,1971.483440,88.510000,2059.993440,0.001800,88.511800,1.000020,5,-1.000000,""
155,w0,delay_is.C.2,2052.467932,2,87.000000,1,COMPLETED_SUCCESSFULLY,2052.469732,26.481000,2078.950732,0.001800,26.482800,1.000068,12-13,-1.000000,""
136,w0,delay_ft.C.2,1817.437131,2,399.000000,1,COMPLETED_SUCCESSFULLY,1817.438931,265.800000,2083.238931,0.001800,265.801800,1.000007,1 7,-1.000000,""
